"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name","skills"
40145,"Staff Data Scientist/Quant Researcher","Anywhere","Full-time","550000.0","2023-08-16 16:05:16","Selby Jennings","sql"
40145,"Staff Data Scientist/Quant Researcher","Anywhere","Full-time","550000.0","2023-08-16 16:05:16","Selby Jennings","python"
1714768,"Staff Data Scientist - Business Analytics","Anywhere","Full-time","525000.0","2023-09-01 19:24:02","Selby Jennings","sql"
1131472,"Data Scientist","Anywhere","Full-time","375000.0","2023-07-31 14:05:21","Algo Capital Group","sql"
1131472,"Data Scientist","Anywhere","Full-time","375000.0","2023-07-31 14:05:21","Algo Capital Group","python"
1131472,"Data Scientist","Anywhere","Full-time","375000.0","2023-07-31 14:05:21","Algo Capital Group","java"
1131472,"Data Scientist","Anywhere","Full-time","375000.0","2023-07-31 14:05:21","Algo Capital Group","cassandra"
1131472,"Data Scientist","Anywhere","Full-time","375000.0","2023-07-31 14:05:21","Algo Capital Group","spark"
1131472,"Data Scientist","Anywhere","Full-time","375000.0","2023-07-31 14:05:21","Algo Capital Group","hadoop"
1131472,"Data Scientist","Anywhere","Full-time","375000.0","2023-07-31 14:05:21","Algo Capital Group","tableau"
126218,"Director Level - Product Management - Data Science","Anywhere","Full-time","320000.0","2023-03-26 23:46:39","Teramind","azure"
126218,"Director Level - Product Management - Data Science","Anywhere","Full-time","320000.0","2023-03-26 23:46:39","Teramind","aws"
126218,"Director Level - Product Management - Data Science","Anywhere","Full-time","320000.0","2023-03-26 23:46:39","Teramind","tensorflow"
126218,"Director Level - Product Management - Data Science","Anywhere","Full-time","320000.0","2023-03-26 23:46:39","Teramind","keras"
126218,"Director Level - Product Management - Data Science","Anywhere","Full-time","320000.0","2023-03-26 23:46:39","Teramind","pytorch"
126218,"Director Level - Product Management - Data Science","Anywhere","Full-time","320000.0","2023-03-26 23:46:39","Teramind","scikit-learn"
126218,"Director Level - Product Management - Data Science","Anywhere","Full-time","320000.0","2023-03-26 23:46:39","Teramind","datarobot"
38905,"Principal Data Scientist","Anywhere","Full-time","300000.0","2023-11-24 14:08:44","Storm5","sql"
38905,"Principal Data Scientist","Anywhere","Full-time","300000.0","2023-11-24 14:08:44","Storm5","python"
38905,"Principal Data Scientist","Anywhere","Full-time","300000.0","2023-11-24 14:08:44","Storm5","java"
38905,"Principal Data Scientist","Anywhere","Full-time","300000.0","2023-11-24 14:08:44","Storm5","c"
38905,"Principal Data Scientist","Anywhere","Full-time","300000.0","2023-11-24 14:08:44","Storm5","aws"
38905,"Principal Data Scientist","Anywhere","Full-time","300000.0","2023-11-24 14:08:44","Storm5","gcp"
226011,"Distinguished Data Scientist","Anywhere","Full-time","300000.0","2023-08-06 11:00:43","Walmart","scala"
226011,"Distinguished Data Scientist","Anywhere","Full-time","300000.0","2023-08-06 11:00:43","Walmart","java"
226011,"Distinguished Data Scientist","Anywhere","Full-time","300000.0","2023-08-06 11:00:43","Walmart","spark"
226011,"Distinguished Data Scientist","Anywhere","Full-time","300000.0","2023-08-06 11:00:43","Walmart","tensorflow"
226011,"Distinguished Data Scientist","Anywhere","Full-time","300000.0","2023-08-06 11:00:43","Walmart","pytorch"
226011,"Distinguished Data Scientist","Anywhere","Full-time","300000.0","2023-08-06 11:00:43","Walmart","kubernetes"
129924,"Director of Data Science","Anywhere","Full-time","300000.0","2023-01-21 11:09:36","Storm4","python"
129924,"Director of Data Science","Anywhere","Full-time","300000.0","2023-01-21 11:09:36","Storm4","pandas"
129924,"Director of Data Science","Anywhere","Full-time","300000.0","2023-01-21 11:09:36","Storm4","numpy"
